"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00181995","COLLEGE PARK, MD US","38.98333","-76.95","27.4","1895",,,,,"        89","6","        71","6",,,,,,,,,,,,,,,,,,,,,"52.3"," ,6,0408, ",,,,,,,"877.3"," ,6",,,,,,,,
"USC00181995","COLLEGE PARK, MD US","38.98333","-76.95","27.4","1896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2432.3","3","2432.3"," ",,,,,,,,,,
"USC00181995","COLLEGE PARK, MD US","38.98333","-76.95","27.4","1898",,,,,,,,,,,,,"         0","6","        80","6","         6","6","       167","6","        48","6","-12.8","6,1214, ",,,,,,,"40.6","6,0702, ",,,,,,,,,"13.8","6","19.3","6","8.3","6"
"USC00181995","COLLEGE PARK, MD US","38.98333","-76.95","27.4","1900","877.4",,"877.4","6",,,,,,,,,"         0","6","       123","6","        17","6","       175","6","        69","6","-15.6","6,0202, ",,,,,,,"39.4","6,0811,+","2794.8","8","2794.8","6",,,,,"13.1","6","19.3","6","6.9","6"
"USC00181995","COLLEGE PARK, MD US","38.98333","-76.95","27.4","1901",,,,,"        59","6","        56","6",,,,,,,,,,,,,,,,,,,,,"70.9"," ,6,0806, ",,,,,,,"1239.3"," ,6",,,,,,,,
"USC00181995","COLLEGE PARK, MD US","38.98333","-76.95","27.4","1902","518.1",,"518.1","6",,,,,,,,,"         2","6","       114","6","        12","6","       179","6","        26","6","-19.4","6,0205, ",,,,,,,"37.8","6,0718, ",,,,,,,,,"12.0","6","18.7","6","5.2","6"
"USC00181995","COLLEGE PARK, MD US","38.98333","-76.95","27.4","1903","405.1",,"405.1","6",,,,,,,,,"         3","6","       124","6","        11","6","       165","6","        20","6","-18.9","6,0220, ",,,,,,,"35.6","6,0703, ","2634.9","9","2634.9","6",,,,,"11.7","6","18.5","6","4.9","6"
"USC00181995","COLLEGE PARK, MD US","38.98333","-76.95","27.4","1904",,,,,,,,,,,,,,,,,"        26","6","       143","6","        24","6",,,,,,,,,"36.7","6,0626, ","3187.7","7","3187.7","6",,,,,,,"17.3","6",,
"USC00181995","COLLEGE PARK, MD US","38.98333","-76.95","27.4","1905","540.0",,"540.0","6",,,,,,,,,"         2","6","       121","6","        18","6","       192","6","        27","6","-25.0","6,0131, ",,,,,,,"38.3","6,0718, ",,,,,,,,,"12.0","6","18.9","6","5.0","6"
"USC00181995","COLLEGE PARK, MD US","38.98333","-76.95","27.4","1906","623.6",,"623.6","6",,,,,,,,,"         0","6","       113","6","         9","6","       167","6","        30","6","-14.4","6,0206,+",,,,,,,"35.6","6,0806,+","2612.2","2","2612.2","6",,,,,"12.8","6","19.1","6","6.6","6"
