"iso","adm1","adm2","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",21,16,2001,244.6508635374688624,71738.69068596732701
"USA",21,16,2002,293.96629383090587221,92579.650671294795926
"USA",21,16,2003,218.44895881136493898,70165.127446615773081
"USA",21,16,2004,269.323615027998659044,88378.70305267637120
"USA",21,16,2005,633.17981350067277050,208957.665002062077612
"USA",21,16,2006,426.67045114696908668,145107.027517150585167
"USA",21,16,2007,382.80340620337189112,127593.47815712277531
"USA",21,16,2008,239.581051248158494514,83442.656662171429373
"USA",21,16,2009,213.45187695479648408,78761.73204089461584
"USA",21,16,2010,71.9109797052451613,27086.5029437680922
"USA",21,16,2011,91.129189097319608626,33789.792918232378447
"USA",21,16,2012,165.772840749181664036,63857.564488267490633
"USA",21,16,2013,150.57615630666269316,53384.895860932479706
"USA",21,16,2014,144.73072292432920926,55449.64165022663348
"USA",21,16,2015,121.32063028779774200,44345.24483840529236
"USA",21,16,2016,124.228508721855594925,43462.792570409844057
"USA",21,16,2017,214.562761481363564286,80025.025287630206811
"USA",21,16,2018,96.37779701209232031,36270.351059936553095
"USA",21,16,2019,201.79502203035526676,74539.340826432718847
"USA",21,16,2020,186.73898540967124321,76904.495665976767578
"USA",21,16,2021,236.41001139439437976,99899.282986659954094
"USA",21,16,2022,211.66239233355690014,91929.052329071494936
"USA",21,16,2023,94.27354814953760773,39140.84850504077828
