iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
AFG,2001,88.09271247,23242.62227
AGO,2001,101220.6215,37479550.61
AIA,2001,3.878460708,649.5610848
ALA,2001,396.9348257,74296.55392
ALB,2001,3729.021031,1365789.74
AND,2001,1.654212948,566.6468184
ARG,2001,147805.9504,32625004.46
ARM,2001,131.8406123,39949.73419
ATG,2001,24.07418944,7212.162248
AUS,2001,218816.3021,28222182.93
AUT,2001,6926.269008,2789699.045
AZE,2001,553.2993561,156502.2262
BDI,2001,1417.246957,486973.4132
BEL,2001,971.4881953,420174.1525
BEN,2001,3749.331105,1119344.32
BES,2001,3.031857253,277.4906778
BFA,2001,59.47710511,252746.1371
BGD,2001,4586.997203,2293885.114
BGR,2001,8202.319112,2099766.383
BHS,2001,432.9994197,90132.63408
BIH,2001,1496.107105,496454.3421
BLR,2001,18358.96428,4985186.648
BLZ,2001,8211.629493,3626172.817
BMU,2001,0.195819794,62.84709498
BOL,2001,140321.2605,63470048.77
BRA,2001,2746361.557,1194228307
BRB,2001,12.36746156,3432.534979
BRN,2001,1244.453823,757789.6149
BTN,2001,297.6596315,157126.0211
BWA,2001,130.9838815,24757.63881
CAF,2001,31282.43685,14207620.39
CAN,2001,1358154.799,419196844.9
CHE,2001,1165.213247,540278.2545
CHL,2001,72711.30281,21209276.28
CHN,2001,230289.1153,87779006.33
CIV,2001,122711.4502,46812750.5
CMR,2001,39203.71718,19447536.81
COD,2001,455516.739,254244885.6
COG,2001,27030.69622,14019383.15
COL,2001,230054.8357,112949017
COM,2001,36.97369321,17571.61329
CPV,2001,7.136450794,0
CRI,2001,15461.87945,7007147.662
CUB,2001,18942.90878,5483739.583
CUW,2001,0.902788526,200.821721
CYM,2001,20.6816122,4935.912548
CYP,2001,78.62890207,13156.4652
CZE,2001,3460.142586,1315253.138
DEU,2001,15286.38057,6146136.996
DMA,2001,22.79275551,13258.79094
DNK,2001,4329.295853,1038398.212
DOM,2001,11246.81007,4220410.808
DZA,2001,3468.760252,821888.0729
ECU,2001,45002.46871,25016527.71
EGY,2001,147.7649427,44798.12255
ERI,2001,2.529524333,990.5161564
ESP,2001,32811.05352,9526959.227
EST,2001,16872.43451,3712196.195
ETH,2001,11947.24724,5314032.742
FIN,2001,151003.2605,28037721.92
FJI,2001,1097.764054,537214.5906
FRA,2001,34420.96339,12639867.8
GAB,2001,15082.63773,8545503.784
GBR,2001,23244.12725,8338867.313
GEO,2001,666.5563666,242408.5658
GGY,2001,0.957678036,234.7266059
GHA,2001,43644.05617,17143533.96
GIB,2001,0.187285637,45.20122926
GIN,2001,18571.52586,6624018.687
GLP,2001,320.7023856,117861.6288
GMB,2001,3.297421863,3288.249414
GNB,2001,2362.153028,732238.09
GNQ,2001,3585.419101,2162379.453
GRC,2001,12616.82202,2370989.406
GRD,2001,32.81085887,17856.39227
GTM,2001,53310.17515,21983389.74
GUF,2001,3033.287749,2242450.63
GUY,2001,10039.86771,6340581.409
HKG,2001,7.981291214,3430.352356
HND,2001,42380.17446,17874029.62
HRV,2001,3378.489604,1115452.126
HTI,2001,2469.048298,866799.3986
HUN,2001,7522.059332,2593965.986
IDN,2001,744087.9891,491971247.6
IMN,2001,15.97543762,4023.936392
IND,2001,62361.1745,31088425.41
IRL,2001,9559.474141,4002283.127
IRN,2001,332.4837054,79007.30318
IRQ,2001,16.02663642,4380.309439
ISR,2001,145.9652381,32148.47604
ITA,2001,9871.496932,2625475.782
JAM,2001,1246.241523,604732.7148
JEY,2001,3.696338871,1334.481392
JOR,2001,0.522028031,128.8148731
JPN,2001,23977.46162,8852675.781
KAZ,2001,4534.702741,1046734.182
KEN,2001,19027.21105,8923501.918
KGZ,2001,589.226356,131833.9127
KHM,2001,28491.44387,14347367.31
KNA,2001,45.60965868,18773.40373
KOR,2001,5503.445335,1351803.231
LAO,2001,36474.65075,18485247.93
LBN,2001,299.4042676,74833.02677
LBR,2001,29185.67018,13222688.9
LBY,2001,17.15270152,3934.289428
LCA,2001,31.08046321,14720.9491
LIE,2001,3.423943212,1685.743631
LKA,2001,3759.510363,1394091.806
LSO,2001,1.140052131,374.9441734
LTU,2001,7961.687395,2073082.969
LUX,2001,68.60969197,30504.56168
LVA,2001,24907.62112,6198743.604
MAC,2001,1.428070339,0
MAF,2001,2.123655985,741.4102498
MAR,2001,1868.288606,504810.0074
MDA,2001,146.6880607,36277.78784
MDG,2001,86956.8327,42097202.67
MDV,2001,4.743487262,364.7016365
MEX,2001,158302.9885,51553742.23
MKD,2001,2059.864143,605613.6083
MLI,2001,347.8706881,164508.1906
MLT,2001,1.251912538,300.0081159
MMR,2001,44804.23913,22725812.39
